# This file is generated on 25-Nov-2021 at 16:49:18 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 5.0000e+01, 5.0438e-03, 2.7728e-02
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 6.0000e+01, 1.9841e-05, 1.0908e-04
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 7.0000e+01, 0.0000e+00, 0.0000e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 9.0000e+01, 0.0000e+00, 0.0000e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 9.9990e+01, 0.0000e+00, 0.0000e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.0000e-02, 1.5478e+00, 7.7351e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.6000e-02, 1.5478e+00, 7.7351e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 2.7000e-02, 1.5478e+00, 7.7351e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 4.5000e-02, 1.5478e+00, 7.7351e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 7.7000e-02, 1.5478e+00, 7.7351e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.3000e-01, 1.4975e+00, 7.4835e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 2.1000e-01, 1.4043e+00, 7.0180e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.5000e-01, 1.2950e+00, 6.4718e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 6.0000e-01, 1.1745e+00, 5.8696e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 9.5000e-01, 1.0616e+00, 5.3052e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.7000e+00, 9.0398e-01, 4.5175e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.0000e+00, 7.5211e-01, 3.7586e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 5.1000e+00, 5.9065e-01, 2.9517e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 8.3000e+00, 4.4574e-01, 2.2275e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.2000e+01, 3.3352e-01, 1.6668e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.9000e+01, 1.9042e-01, 9.5159e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.0000e+01, 7.3531e-02, 3.6746e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 4.0000e+01, 3.4961e-02, 1.7471e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 5.0000e+01, 5.0438e-03, 2.5206e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 6.0000e+01, 1.9841e-05, 9.9155e-05
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 7.0000e+01, 0.0000e+00, 0.0000e+00
